name,city,stars,review_count,latitude,longitude,categories,utility
Santa Barbara Zoo,Santa Barbara,4.0,681,34.4194702,-119.6680014,"Zoos, Event Planning & Services, Venues & Event Spaces, Active Life",26.10011863137385
Sustainable Wine Tours,Santa Barbara,5.0,358,34.4224525,-119.7050212,"Wine Tours, Hotels & Travel, Tours, Transportation, Wineries, Limos, Food, Arts & Entertainment",29.416611942441392
Mission Santa Barbara,Santa Barbara,4.0,321,34.438201,-119.713556,"Churches, Arts & Entertainment, Museums, Religious Organizations, Landmarks & Historical Buildings, Public Services & Government",23.098206182177634
Captain Jack's Tours & Events,Santa Barbara,4.5,310,34.420334,-119.7107494,"Active Life, Wineries, Tours, Horseback Riding, Arts & Entertainment, Food, Hotels & Travel, Event Planning & Services, Wine Tours, Rafting/Kayaking",25.829068104806552
Stearns Wharf,Santa Barbara,4.0,297,34.4100137734,-119.6855497819,"Public Services & Government, Landmarks & Historical Buildings, Local Flavor, Restaurants, Tours, Shopping, Shopping Centers, Seafood, Hotels & Travel, Boat Tours",22.78837394602162
Celebration Cruises,Santa Barbara,4.5,297,34.4086834,-119.6850043,"Boating, Bars, Hotels & Travel, Boat Charters, Whale Watching Tours, Tours, Event Planning & Services, Nightlife, Active Life",25.63692068927432
Santa Barbara Botanic Garden,Santa Barbara,4.0,266,34.4564877,-119.7099564195,"Shopping, Museums, Arts & Entertainment, Home & Garden, Botanical Gardens, Nurseries & Gardening",22.348994633601
Santa Barbara County Courthouse,Santa Barbara,4.5,251,34.4242013,-119.7023282,"Courthouses, Active Life, Event Planning & Services, Landmarks & Historical Buildings, Public Services & Government, Parks, Venues & Event Spaces",24.882430893801406
Arroyo Burro Beach,Santa Barbara,4.5,251,34.4028358,-119.7432398,"Parks, Beaches, Active Life",24.882430893801406
SB Buggie,Santa Barbara,5.0,231,34.4155403,-119.6897052,"Tours, Motorcycle Rental, Scooter Rentals, Kids Activities, Car Rental, Bike Rentals, Hotels & Travel, Active Life",27.23368685833155
